votu,taxa,consensus_domain,sub_domain_consensus
4Wh2oV_0h_scaffold_1654120,"Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus",Bacteria,delta/epsilon subdivisions
4Wh2oV_0h_scaffold_165454,"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1655092,"Bacteria,Terrabacteria group,Chloroflexi,Dehalococcoidia,Dehalogenimonas",Bacteria,Terrabacteria group
4Wh2oV_0h_scaffold_1655487,"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1655757,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,unclassified Streptomyces",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1657058,"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1657769,"Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter",Bacteria,Bacteroidetes/Chlorobi group
4Wh2oV_0h_scaffold_1658250,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptosporangiales",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1658391,"Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Reinekea",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1658879,"Bacteria,Terrabacteria group,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiales incertae sedis,Anoxybacter",Bacteria,Firmicutes
4Wh2oV_0h_scaffold_16590,"Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides",Bacteria,Bacteroidetes/Chlorobi group
4Wh2oV_0h_scaffold_1659188,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas flavigena",Bacteria,Actinobacteria
